"date","close","volume","open","high","low"
"16:00","23.58","75,488,374","23.12","23.78","23.05"
"2017/10/19","23.5800","75230440.0000","23.1400","23.7800","23.0500"
"2017/10/18","23.1200","34921940.0000","23.2000","23.2800","23.0700"
"2017/10/17","23.1900","58154510.0000","23.2200","23.2500","23.0000"
"2017/10/16","23.3600","49720630.0000","22.9900","23.4800","22.9300"
"2017/10/13","22.9800","40358970.0000","23.1500","23.2300","22.9600"
"2017/10/12","23.0500","60364840.0000","23.0500","23.0900","22.8300"
"2017/10/11","23.0700","81158250.0000","23.1300","23.2700","22.9000"
"2017/10/10","23.3600","80976290.0000","23.7000","23.8553","23.3200"
"2017/10/09","23.4300","140226200.0000","24.1000","24.1500","23.2500"
"2017/10/06","24.3900","40639560.0000","24.4100","24.5400","24.1300"
"2017/10/05","24.5400","34717630.0000","24.3900","24.5700","24.1500"
"2017/10/04","24.4800","32110390.0000","24.8800","24.8900","24.4300"
"2017/10/03","24.8000","33882720.0000","24.6100","24.8300","24.3300"
"2017/10/02","24.5700","42417420.0000","24.2200","24.6100","24.1000"
"2017/09/29","24.1800","33568410.0000","24.2200","24.2900","24.0100"
"2017/09/28","24.2400","36149150.0000","24.3900","24.4500","24.1600"
"2017/09/27","24.3700","56381500.0000","25.0000","25.0500","24.2800"
"2017/09/26","24.9300","38554610.0000","25.1500","25.2100","24.9200"
"2017/09/25","25.1100","42481340.0000","24.9200","25.1800","24.8510"
"2017/09/22","24.8700","39710710.0000","24.8400","25.0399","24.7700"
"2017/09/21","24.7500","52059550.0000","24.3300","24.8400","24.1700"
"2017/09/20","24.3200","39733330.0000","24.2000","24.4100","24.1900"
"2017/09/19","24.2000","45321370.0000","24.4600","24.4700","24.0150"
"2017/09/18","24.4600","52465500.0000","23.9600","24.5500","23.9300"
"2017/09/15","23.9300","66538390.0000","24.1000","24.1700","23.7500"
"2017/09/14","24.2600","42060180.0000","24.1000","24.2700","23.9400"
"2017/09/13","24.1100","38557870.0000","23.9300","24.1800","23.9200"
"2017/09/12","23.9100","49590410.0000","23.8200","23.9100","23.7100"
"2017/09/11","23.7200","43299760.0000","23.8000","23.8900","23.6200"
"2017/09/08","23.8200","44560710.0000","23.9500","24.0000","23.5800"
"2017/09/07","24.0200","80060200.0000","24.5100","24.5500","23.8300"
"2017/09/06","24.9200","54808430.0000","24.8900","25.0200","24.8200"
"2017/09/05","24.7600","46736410.0000","25.0600","25.0600","24.5713"
"2017/09/01","25.1400","58807890.0000","24.6000","25.3000","24.4900"
"2017/08/31","24.5500","55168300.0000","24.4100","24.7000","24.2800"
"2017/08/30","24.2800","33868070.0000","24.4900","24.4900","24.1500"
"2017/08/29","24.4400","23908810.0000","24.3300","24.4600","24.2800"
"2017/08/28","24.4700","23851290.0000","24.5300","24.6665","24.3500"
"2017/08/25","24.4900","22757950.0000","24.3900","24.6000","24.3500"
"2017/08/24","24.3000","25526180.0000","24.4300","24.5400","24.3000"
"2017/08/23","24.3900","34490900.0000","24.5200","24.5600","24.3350"
"2017/08/22","24.6000","29897100.0000","24.5700","24.7400","24.4822"
"2017/08/21","24.4900","45834090.0000","24.4900","24.5950","24.3200"
"2017/08/18","24.5500","33627540.0000","24.6300","24.7400","24.4400"
"2017/08/17","24.7500","30587050.0000","25.0700","25.1000","24.7200"
"2017/08/16","25.1000","27452120.0000","25.1200","25.2500","25.0500"
"2017/08/15","25.1400","27303020.0000","25.2100","25.3200","25.1000"
"2017/08/14","25.3600","24261170.0000","25.2800","25.5500","25.2500"
"2017/08/11","25.2000","19176020.0000","25.4000","25.4500","25.1900"
"2017/08/10","25.3000","29621340.0000","25.7100","25.7100","25.2700"
"2017/08/09","25.7100","29624210.0000","25.5500","25.7200","25.4600"
"2017/08/08","25.5600","27003170.0000","25.6300","25.8900","25.5150"
"2017/08/07","25.6300","18869680.0000","25.7400","25.7900","25.5500"
"2017/08/04","25.7800","23312420.0000","25.7500","25.8500","25.6200"
"2017/08/03","25.7600","30906170.0000","25.5900","25.7800","25.3700"
"2017/08/02","25.5200","26955830.0000","25.4400","25.5700","25.3900"
"2017/08/01","25.4400","41879930.0000","25.6300","25.6600","25.3300"
"2017/07/31","25.6100","30585780.0000","25.5400","25.6900","25.4900"
"2017/07/28","25.5300","28283310.0000","25.8600","25.8800","25.4000"
"2017/07/27","25.7900","39837510.0000","25.5900","25.8000","25.5200"
"2017/07/26","25.5900","40697310.0000","25.5900","25.6900","25.3700"
"2017/07/25","25.4400","45999960.0000","25.5700","25.7300","25.3600"
"2017/07/24","25.4300","56822720.0000","25.7800","25.8500","25.3500"
"2017/07/21","25.9100","90565980.0000","25.3800","26.0050","25.2600"
"2017/07/20","26.6900","55042430.0000","27.0200","27.0500","26.6000"
"2017/07/19","26.9400","24751520.0000","26.8500","27.0300","26.8400"
"2017/07/18","26.8900","25359430.0000","26.7600","26.9200","26.7350"
"2017/07/17","26.8200","27672090.0000","26.7600","26.8800","26.7200"
"2017/07/14","26.7800","20936700.0000","26.7400","26.9000","26.7300"
"2017/07/13","26.7900","27684960.0000","26.5800","26.8300","26.5000"
"2017/07/12","26.5800","50968900.0000","26.5400","26.8050","26.3700"
"2017/07/11","26.3800","41223940.0000","26.0300","26.4500","25.9100"
"2017/07/10","26.0400","46518770.0000","26.1300","26.1900","25.8500"
"2017/07/07","26.1500","39765870.0000","26.2500","26.3000","25.9800"
"2017/07/06","26.3100","76605090.0000","26.8600","27.0494","26.1000"
